runoff,PPTAVG_BASIN,DRAIN_SQKM.log,BAS_COMPACTNESS,T_AVG_BASIN,PET,ARTIFPATH_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,AWCAVE.log,PERMAVE.log,BDAVE,OMAVE.log,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN.log,SLOPE_PCT.log,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
671.9,124.33,2.549445171,2.32,10.02,668.7,0,53.7,3.3,0.7,12.36,4.19,79.54,0.5,-1.966112856,1.324418957,1.35,-0.198450939,2.75,55.26,79.5,37.19,73.38,0.21,150.93,50.7,102,6,48,16.5,7,0.466,-0.825536369,0.955511445,293.5,0.399,-0.917
670.4,125.9,3.077312261,1.9,9.44,640.1,1.29,63.7,3.9,1.9,11.92,8.93,73.03,2.55,-2.040220829,1.345472367,1.41,1.220829921,3.32,56.16,78.84,38.39,72.94,0.21,167.41,139.4,190,85,136,22.1,87,0.518,-0.721546655,1.410986974,85.6,0.078,0.997
669.6,126,2.388762789,2.59,9.68,646.7,28.8,64.5,3.9,2,12.24,9.75,73.67,3.72,-2.207274913,1.948763218,1.4,0.978326123,3.88,56,75.04,30.74,67.77,0.2,178.11,126.6,185,91,121,20.1,97,0.379,-1.142564176,1.360976553,36.9,0.8,0.601
668.8,124.24,2.939161922,2.07,9.71,650.1,14.02,63.3,4,0.3,12.55,14.15,66.36,0.69,-2.207274913,2.041220329,1.42,0.678033543,4.63,55.06,74.84,32.1,67.87,0.22,164.57,100.9,155,78,99,15.9,78,0.298,-1.298283484,1.131402111,291.9,0.372,-0.928
698.2,126.69,3.921973336,2.39,9.78,649.7,3.84,64.7,4,1.1,11.93,11.88,69.37,5.13,-2.120263536,1.932969638,1.43,0.75612198,4.59,56.95,76.16,35.87,69.87,0.25,171.22,88.4,156,39,85,27.4,41,0.422,-0.933945667,1.280933845,140.3,-0.77,0.638
699.6,127.66,3.230804396,1.79,9.73,647.5,2.44,66.5,3.6,1.6,11.49,8.69,73.07,3.46,-2.120263536,1.717395054,1.42,1.01884732,4,55.96,77.13,35.57,70.79,0.21,180.57,99.8,184,34,100,36,35,0.438,-0.820980552,1.458615023,154.5,-0.902,0.431
699.4,125.85,4.508659286,1.71,9.3,638.3,3.63,61.3,3.6,0.7,11.76,6.07,73.39,4.16,-2.120263536,1.876406943,1.4,1.196948189,4.19,55.58,76.34,32.72,69.34,0.21,161.86,120.7,206,40,123,33.1,50,0.486,-0.693147181,1.526056303,170.5,-0.986,0.165
699.2,127.11,2.341805806,2.43,9.79,652.1,0,62.4,4,1.3,10.41,4.58,76.15,4.29,-2.120263536,1.625311262,1.42,1.00795792,4.3,54.75,77.81,36.52,71.84,0.2,181.41,103.8,165,48,103,24.7,50,0.477,-0.755022584,1.547562509,134.2,-0.697,0.717
675.7,129.75,1.902107526,2.1,8.28,611.5,7.71,48.9,4.1,2.1,10.92,5.23,74.59,12.4,-2.040220829,1.166270937,1.4,1.2753628,3.2,55.99,79.15,39.11,73.51,0.21,140.47,229.5,287,165,233,24.5,178,0.529,-0.585190039,1.840549633,228.9,-0.658,-0.753
675,128.44,4.252771799,1.59,8.52,619.1,7.19,49.2,4,2.2,11.47,7.26,75.08,5.69,-2.040220829,1.423108334,1.4,1.156881197,3.77,53.9,78.23,37.63,72.36,0.21,139.24,198.1,376,98,192,46.3,108,0.36,-1.084709383,1.791759469,150.8,-0.873,0.488
